# classical_spectral: XGBoost 5-bag on band power (5 bands x 8ch = 40 features) | classical_nonspectral: XGBoost 5-bag on PLV coherence (28 channel pairs, 4-13Hz) | quantum_spectral: analysis_results/quantum_loso_v2/quantum_results.json (V2 band-power encoding) | quantum_nonspectral: analysis_results/quantum_loso_v3/quantum_theta_alpha_results.json (V3 PLV 4-13Hz)
subject,classical_spectral,classical_nonspectral,quantum_spectral,quantum_nonspectral
chb01,0.6250,0.5833,0.8750,0.5833
chb02,0.5000,0.4375,0.2500,0.3750
chb03,0.5417,0.3333,0.5000,0.5833
chb04,0.5000,0.6111,0.5000,0.4444
chb05,0.5000,0.3500,0.6000,0.5000
chb06,0.6333,0.4667,0.6000,0.6667
chb07,0.6875,0.6875,0.3750,0.3750
chb08,0.4000,0.4000,0.3000,0.5000
chb09,0.4444,0.3889,0.6111,0.4444
chb10,0.7083,0.6250,0.5417,0.5833
chb11,0.4375,0.5625,0.6250,0.3750
chb13,0.3824,0.3235,0.9118,0.7059
chb14,0.6154,0.5769,0.6154,0.6154
chb15,0.3400,0.7200,0.3000,0.8000
chb16,0.4667,0.5667,0.4000,0.6667
chb17,0.3750,0.2500,0.2500,0.3750
chb18,0.5455,0.6364,0.5000,0.5455
chb19,0.3750,0.6250,0.8125,0.3750
chb20,0.6538,0.5000,0.5385,0.6154
chb21,0.5556,0.3889,0.7222,0.4444
chb22,0.6875,0.4375,0.7500,0.3750
chb23,0.4583,0.3333,0.5833,0.5833
