clinical_variable,polarity_measure,spearman_rho,p_value,n,flag,survives_bonferroni
n_seizures,s_norm,-0.5806,0.0046,22,1,0
n_seizures,s_norm_corr,-0.5244,0.0122,22,1,0
mean_seizure_duration_sec,bw_dist,+0.5065,0.0162,22,1,0
median_seizure_duration_sec,bw_dist,+0.4750,0.0255,22,1,0
seizure_density_per_hour,s_norm,-0.4636,0.0298,22,1,0
age_years,s_norm,+0.4378,0.0416,22,1,0
age_years,t2a_polarity_mag,+0.4161,0.0541,22,0,0
mean_seizure_duration_sec,s_norm,+0.4049,0.0616,22,0,0
n_seizure_files,s_norm,-0.3990,0.0659,22,0,0
max_seizure_duration_sec,bw_dist,+0.3869,0.0753,22,0,0
n_seizure_files,t2a_polarity_mag,-0.3728,0.0875,22,0,0
seizure_density_per_hour,s_norm_corr,-0.3597,0.1001,22,0,0
n_seizure_files,s_norm_corr,-0.3595,0.1004,22,0,0
median_seizure_duration_sec,s_norm,+0.3541,0.1059,22,0,0
n_seizures,bw_dist,-0.3502,0.1101,22,0,0
n_seizures,t2a_polarity_mag,-0.3013,0.1730,22,0,0
max_seizure_duration_sec,s_norm,+0.2909,0.1891,22,0,0
seizure_density_per_hour,bw_dist,-0.2558,0.2506,22,0,0
mean_seizure_duration_sec,s_norm_corr,+0.2366,0.2891,22,0,0
total_recording_hours,t3_polarity_mag,-0.2259,0.3120,22,0,0
age_years,t3_polarity_mag,-0.2119,0.3438,22,0,0
age_years,bw_dist,+0.2104,0.3473,22,0,0
total_recording_hours,bw_dist,+0.1959,0.3822,22,0,0
total_recording_hours,s_norm,+0.1835,0.4137,22,0,0
median_seizure_duration_sec,s_norm_corr,+0.1734,0.4403,22,0,0
seizure_density_per_hour,t2a_polarity_mag,-0.1610,0.4742,22,0,0
median_seizure_duration_sec,t3_polarity_mag,+0.1565,0.4867,22,0,0
age_years,s_norm_corr,+0.1493,0.5072,22,0,0
total_recording_hours,t2a_polarity_mag,-0.1485,0.5094,22,0,0
n_seizure_files,bw_dist,-0.1361,0.5458,22,0,0
max_seizure_duration_sec,s_norm_corr,+0.1356,0.5475,22,0,0
max_seizure_duration_sec,t2a_polarity_mag,+0.1192,0.5972,22,0,0
mean_seizure_duration_sec,t2a_polarity_mag,+0.1011,0.6544,22,0,0
max_seizure_duration_sec,t3_polarity_mag,+0.0729,0.7472,22,0,0
n_seizures,t3_polarity_mag,-0.0717,0.7513,22,0,0
n_seizure_files,t3_polarity_mag,+0.0572,0.8005,22,0,0
median_seizure_duration_sec,t2a_polarity_mag,+0.0525,0.8164,22,0,0
seizure_density_per_hour,t3_polarity_mag,+0.0395,0.8613,22,0,0
total_recording_hours,s_norm_corr,+0.0322,0.8869,22,0,0
mean_seizure_duration_sec,t3_polarity_mag,+0.0147,0.9483,22,0,0
