clinical_variable,polarity_measure,spearman_rho,p_value,n,flag
age_years,t2a_polarity_mag,0.41612488584061785,0.05407028245295166,22,
age_years,t3_polarity_mag,-0.2118814000643255,0.3438380113766015,22,
n_seizures,t2a_polarity_mag,-0.301264631772271,0.17304728661569913,22,
n_seizures,t3_polarity_mag,-0.0716614252550597,0.7513123276424561,22,
mean_seizure_duration_sec,t2a_polarity_mag,0.10110138782146984,0.6543861694474712,22,
mean_seizure_duration_sec,t3_polarity_mag,0.014685117784124109,0.9482839731897503,22,
median_seizure_duration_sec,t2a_polarity_mag,0.05254237288135593,0.8163671449818053,22,
median_seizure_duration_sec,t3_polarity_mag,0.15649717514124295,0.48674593894460744,22,
max_seizure_duration_sec,t2a_polarity_mag,0.11920903954802262,0.5972270439643241,22,
max_seizure_duration_sec,t3_polarity_mag,0.07288135593220339,0.7472112843453976,22,
n_seizure_files,t2a_polarity_mag,-0.37283238241713507,0.08746807575086331,22,
n_seizure_files,t3_polarity_mag,0.0571774562758294,0.8004707642995111,22,
total_recording_hours,t2a_polarity_mag,-0.14854561450864004,0.5094167789503667,22,
total_recording_hours,t3_polarity_mag,-0.22592488898652477,0.3120284785214658,22,
seizure_density_per_hour,t2a_polarity_mag,-0.16097148340289888,0.47421441232089473,22,
seizure_density_per_hour,t3_polarity_mag,0.039536855572641826,0.8613253728702307,22,
