patient,t2a_raw_auc,t2a_polarity_mag,t2a_polarity,t3_raw_auc,t3_polarity_mag,t3_polarity,s_norm,s_norm_corr,bw_dist
chb01,0.42142857142857143,0.07857142857142857,inverted,0.8642857142857143,0.3642857142857143,standard,4.945703,4.829144,108.142185
chb02,0.64,0.14,standard,0.6599999999999999,0.15999999999999992,standard,4.808348,4.498236,129.233527
chb03,0.2928571428571428,0.20714285714285718,inverted,0.3,0.2,inverted,7.642099,7.493206,162.527945
chb04,0.6625,0.16249999999999998,standard,0.5499999999999999,0.04999999999999993,standard,2.335266,1.295058,36.857590
chb05,0.6,0.09999999999999998,standard,0.76,0.26,standard,2.822850,2.641132,128.970240
chb06,0.565,0.06499999999999995,standard,0.335,0.16499999999999998,inverted,1.582632,1.324836,42.374920
chb07,0.4666666666666667,0.033333333333333326,inverted,0.5,0.0,standard,3.622826,3.236804,95.073870
chb08,0.39,0.10999999999999999,inverted,0.13,0.37,inverted,3.798494,3.640810,140.226155
chb09,0.6,0.09999999999999998,standard,0.5125,0.012499999999999956,standard,5.941856,5.599875,334.506750
chb10,0.5,0.0,standard,0.20714285714285713,0.29285714285714287,inverted,1.487878,1.346991,62.400040
chb11,0.26666666666666666,0.23333333333333334,inverted,0.5166666666666667,0.01666666666666672,standard,3.414697,3.173818,79.441761
chb13,0.5375,0.03749999999999998,standard,0.5125,0.012499999999999956,standard,2.023768,1.848650,44.520331
chb14,0.4375,0.0625,inverted,0.55,0.050000000000000044,standard,1.730246,1.525224,42.526317
chb15,0.5775,0.07750000000000001,standard,0.5475,0.04749999999999999,standard,2.197597,1.222054,118.822140
chb16,0.44545454545454544,0.054545454545454564,inverted,0.6454545454545455,0.1454545454545455,standard,1.996165,1.679835,44.450711
chb17,0.41666666666666663,0.08333333333333337,inverted,0.6166666666666667,0.1166666666666667,standard,2.761051,2.280315,55.945068
chb18,0.8,0.30000000000000004,standard,0.5166666666666666,0.016666666666666607,standard,3.092893,2.727369,63.643872
chb19,0.7,0.19999999999999996,standard,0.7333333333333334,0.2333333333333334,standard,3.038215,1.853223,79.577403
chb20,0.675,0.17500000000000004,standard,0.4625,0.03749999999999998,inverted,1.888159,1.705693,36.955986
chb21,0.25,0.25,inverted,0.9750000000000001,0.4750000000000001,standard,3.122389,2.866059,63.650909
chb22,0.43333333333333335,0.06666666666666665,inverted,0.21666666666666662,0.2833333333333334,inverted,4.019885,3.776913,97.721880
chb23,0.7857142857142858,0.2857142857142858,standard,0.6785714285714285,0.1785714285714285,standard,2.074276,1.873151,51.536287
