variable,strong_mean_chb03_chb21,weak_mean_chb01_05_07_14,mw_p_two_sided
age_years,13.5000,10.3750,0.5333
n_seizures,5.5000,5.7500,1.0000
mean_seizure_duration_sec,53.5893,76.0503,0.5333
median_seizure_duration_sec,53.0000,70.5000,1.0000
max_seizure_duration_sec,75.0000,101.2500,0.5333
n_seizure_files,5.5000,5.5000,1.0000
total_recording_hours,35.4160,43.1518,0.5333
seizure_density_per_hour,0.1530,0.1633,1.0000
t2a_polarity_mag,0.2286,0.0686,0.1333
t3_polarity_mag,0.3375,0.1686,0.5333
s_norm,5.3822,3.2804,0.5333
s_norm_corr,5.1796,3.0581,0.5333
bw_dist,113.0894,93.6782,0.8000
