band,pair,delta_chb01,delta_chb03,delta_chb05,delta_chb07,delta_chb11,delta_chb14,delta_chb21,conc_ictal_mean,conc_inter_mean,n_std_pos,n_inv_pos,sign_agreement,r_pointbiserial,p_pointbiserial,r_circlinear,flagged
theta,FP1-F7|F7-T7,+0.1637,-2.3166,+0.1667,+0.4440,+0.1225,+0.5774,-0.5776,0.6785,0.4413,4/4,1/3,6/7,+0.6738,0.0970,0.7993,1
theta,FP1-F7|FP1-F3,+0.5603,+1.4477,+0.5332,-0.0093,-1.7304,-0.2815,-0.0555,0.7353,0.5614,2/4,1/3,4/7,+0.1713,0.7135,0.6718,0
theta,FP1-F7|F3-C3,-0.3500,-0.6180,-0.0302,+0.1418,-0.3408,+0.2945,-0.1684,0.6869,0.6350,2/4,0/3,5/7,+0.6628,0.1047,0.6630,1
theta,FP1-F7|FP2-F8,+0.3042,-1.6989,+0.2431,-0.7721,-0.1564,+0.1110,-0.1036,0.6367,0.7142,3/4,0/3,6/7,+0.4668,0.2909,0.4446,1
theta,FP1-F7|F8-T8,+0.1204,-2.9544,+0.3199,+0.6907,-0.6415,+0.0646,-0.1988,0.5866,0.5952,4/4,0/3,7/7,+0.6897,0.0864,0.8787,1
theta,FP1-F7|FP2-F4,+0.7627,+1.0631,+0.6217,-0.2069,-1.2752,-0.2512,-0.3187,0.5937,0.4906,2/4,1/3,4/7,+0.2705,0.5574,0.6376,0
theta,FP1-F7|F4-C4,-0.1160,-2.1638,+0.3832,-0.0402,-0.5341,+0.3066,+0.1761,0.6009,0.5682,2/4,1/3,4/7,+0.5889,0.1642,0.6294,0
theta,F7-T7|FP1-F3,+1.0086,-0.4357,-0.8345,-0.0596,-1.6492,-0.3367,+0.1986,0.5888,0.4840,1/4,1/3,4/7,+0.3687,0.4158,0.3308,0
theta,F7-T7|F3-C3,-0.2040,+0.1053,-0.1871,+0.0258,-0.1748,-0.0800,-0.1612,0.8768,0.8635,1/4,1/3,4/7,-0.1535,0.7424,0.3610,0
theta,F7-T7|FP2-F8,+0.4665,-0.2606,+0.1929,-0.5126,+0.1079,-0.1364,+0.0738,0.6707,0.6774,2/4,2/3,4/7,+0.0480,0.9186,0.5526,0
theta,F7-T7|F8-T8,-0.1692,-0.5192,-0.0223,+1.2585,-0.5836,+0.2549,+0.4719,0.5362,0.5280,2/4,1/3,4/7,+0.4531,0.3073,0.5010,0
theta,F7-T7|FP2-F4,+0.7718,-0.5135,+0.1666,+0.1696,-1.4022,-0.1625,+0.4134,0.5184,0.4088,3/4,1/3,5/7,+0.5540,0.1969,0.5755,0
theta,F7-T7|F4-C4,-0.2655,-0.3432,+0.1173,+0.5731,-0.0437,+0.0194,+0.0691,0.5696,0.5855,3/4,1/3,5/7,+0.3884,0.3893,0.3940,0
theta,FP1-F3|F3-C3,-1.3206,+2.7762,+0.5262,-1.0529,+1.9801,+1.7346,-0.5676,0.4861,0.4160,2/4,2/3,4/7,-0.4704,0.2867,0.4184,0
theta,FP1-F3|FP2-F8,-0.2011,+2.2773,+0.7754,-1.2920,+0.9503,+0.4569,-0.4374,0.5486,0.4770,2/4,2/3,4/7,-0.4640,0.2942,0.4580,0
theta,FP1-F3|F8-T8,-0.8246,-0.0444,+1.6486,-0.0141,-0.1106,-0.6386,+0.0626,0.5094,0.3686,1/4,1/3,4/7,+0.0493,0.9164,0.7272,0
theta,FP1-F3|FP2-F4,+0.1105,-0.0692,+0.1437,-0.7399,-0.0366,+0.2026,-0.0883,0.8340,0.9310,3/4,0/3,6/7,-0.0102,0.9826,0.9533,1
theta,FP1-F3|F4-C4,-0.7149,+0.9906,+0.6411,-0.2289,+0.2348,+2.8176,-0.2329,0.5127,0.4467,2/4,2/3,4/7,+0.1358,0.7715,0.5088,0
theta,F3-C3|FP2-F8,+0.5802,+0.1581,+0.3132,-0.3525,+0.1233,-0.1705,+0.1100,0.7017,0.7013,2/4,3/3,5/7,-0.0664,0.8876,0.7519,0
theta,F3-C3|F8-T8,+0.1261,-0.3183,+0.1419,+0.7305,-0.0454,-0.1351,+0.3756,0.5895,0.6286,3/4,1/3,5/7,+0.3262,0.4751,0.3379,0
theta,F3-C3|FP2-F4,+1.0437,-1.6541,+0.0142,-0.0866,-0.6331,-1.3013,+0.2887,0.5214,0.4379,2/4,1/3,4/7,+0.3340,0.4641,0.3065,0
theta,F3-C3|F4-C4,-0.0388,-0.0159,+0.2095,+0.2859,-0.0194,+0.2189,+0.1388,0.7509,0.8676,3/4,1/3,5/7,+0.5346,0.2164,0.6774,0
theta,FP2-F8|F8-T8,-0.3786,+0.2444,-0.0373,+1.4010,-0.2176,+0.1282,+0.1061,0.5841,0.5397,2/4,2/3,4/7,+0.2156,0.6424,0.4558,0
theta,FP2-F8|FP2-F4,-0.0939,-0.0610,-0.1361,+0.3734,-0.3443,-0.2938,+0.0396,0.7602,0.6448,1/4,1/3,4/7,+0.1896,0.6838,0.2575,0
theta,FP2-F8|F4-C4,-1.0714,+0.1388,+0.0807,+1.1608,-0.1039,+0.2313,+0.2826,0.6268,0.6828,3/4,2/3,4/7,-0.0044,0.9925,0.5407,0
theta,F8-T8|FP2-F4,+0.5737,-0.0746,-1.4908,-1.0092,-0.0819,+0.5414,+0.0720,0.6140,0.4300,2/4,1/3,4/7,-0.2203,0.6350,0.8542,0
theta,F8-T8|F4-C4,-0.1737,+0.3425,+0.2319,-0.2623,+0.0437,-0.0671,-0.0855,0.8320,0.8771,1/4,2/3,5/7,-0.4131,0.3570,0.4545,0
theta,FP2-F4|F4-C4,-1.0710,+1.5839,+0.0192,+0.9586,+0.5193,+2.2653,-0.2531,0.5943,0.5013,3/4,2/3,4/7,-0.0347,0.9411,0.3995,0
alpha,FP1-F7|F7-T7,-0.5101,-2.6906,+2.3858,-0.5689,+0.4358,+0.7153,+1.5166,0.5823,0.4296,2/4,2/3,4/7,+0.2439,0.5982,0.3288,0
alpha,FP1-F7|FP1-F3,+0.2933,-0.7460,+0.3959,-0.0276,+1.0880,+0.1310,-0.1222,0.6603,0.7071,3/4,1/3,5/7,+0.1196,0.7984,0.7837,0
alpha,FP1-F7|F3-C3,+0.1978,+1.5736,-0.1245,-0.3634,+0.7511,+0.0267,+0.0396,0.5563,0.5973,2/4,3/3,5/7,-0.6936,0.0839,0.7229,1
alpha,FP1-F7|FP2-F8,-0.1295,+0.8313,+0.2416,-0.2401,+0.4534,+0.1262,+0.0135,0.6029,0.7638,2/4,3/3,5/7,-0.6319,0.1279,0.6327,1
alpha,FP1-F7|F8-T8,+0.1203,+0.1076,-0.4830,-0.6708,+1.1672,+0.0814,-0.1317,0.5051,0.4879,2/4,2/3,4/7,-0.5606,0.1905,0.5564,0
alpha,FP1-F7|FP2-F4,+0.2809,+1.4007,+1.4248,+0.3397,+0.1429,+0.0742,-0.3105,0.4400,0.5271,4/4,2/3,5/7,+0.0947,0.8400,0.5435,0
alpha,FP1-F7|F4-C4,+0.6378,-0.1026,+0.6467,-0.5258,+1.3313,-0.0657,+0.4631,0.4435,0.5013,2/4,2/3,4/7,-0.3379,0.4585,0.3352,0
alpha,F7-T7|FP1-F3,+0.9006,-0.8646,+2.7954,+0.3272,+0.0989,-1.3177,+0.6003,0.4804,0.4417,3/4,2/3,4/7,+0.2933,0.5232,0.4999,0
alpha,F7-T7|F3-C3,+0.0099,+0.1233,-0.4166,+0.0015,-0.1042,-0.1228,+0.0897,0.7722,0.8128,2/4,2/3,4/7,-0.4954,0.2583,0.5541,0
alpha,F7-T7|FP2-F8,+0.3181,-0.5805,+0.2303,-0.1332,+0.2994,+0.0907,-0.1201,0.5987,0.6000,3/4,1/3,5/7,+0.4328,0.3320,0.5065,0
alpha,F7-T7|F8-T8,+0.0957,-0.2150,-0.2376,-0.2472,+1.2533,+0.7323,+0.4233,0.4890,0.4108,2/4,2/3,4/7,-0.3722,0.4110,0.4014,0
alpha,F7-T7|FP2-F4,+0.7820,-0.8940,+2.8549,-0.4727,+0.5105,+0.0216,+0.6673,0.4717,0.3768,3/4,2/3,4/7,+0.3103,0.4982,0.2756,0
alpha,F7-T7|F4-C4,-0.0733,+0.1143,+1.3702,+0.0968,-1.2079,+0.2494,+0.4136,0.4207,0.4460,3/4,2/3,4/7,+0.4484,0.3130,0.4257,0
alpha,FP1-F3|F3-C3,+0.5611,+2.8966,+0.3792,-0.2689,+0.1553,+1.9684,+1.2837,0.3845,0.4031,3/4,3/3,4/7,-0.3750,0.4072,0.3376,0
alpha,FP1-F3|FP2-F8,-0.3231,+1.3084,-2.1198,-0.6375,-0.2247,+0.4418,-0.3181,0.5096,0.5480,1/4,1/3,4/7,-0.4676,0.2900,0.4270,0
alpha,FP1-F3|F8-T8,+0.0852,+1.2730,+2.9262,+0.4107,+0.4393,-0.5454,+0.3144,0.4462,0.3070,3/4,3/3,4/7,+0.0208,0.9647,0.6952,0
alpha,FP1-F3|FP2-F4,-0.0710,+0.1603,-0.0906,-0.2159,+0.0220,+0.2213,+0.0798,0.8317,0.8979,1/4,3/3,6/7,-0.4426,0.3200,0.6559,1
alpha,FP1-F3|F4-C4,+0.5225,+0.9778,+1.3218,+0.7418,+0.1688,+3.0666,+0.3434,0.4002,0.3453,4/4,3/3,4/7,+0.4988,0.2545,0.5585,0
alpha,F3-C3|FP2-F8,-0.1243,-0.2013,+0.2440,-0.0344,-0.4573,-0.1158,-0.0596,0.5330,0.5332,1/4,0/3,4/7,+0.5920,0.1614,0.6032,0
alpha,F3-C3|F8-T8,-0.1356,-0.2048,+0.2438,-0.4196,+0.2385,+0.2569,-0.0036,0.4669,0.4392,2/4,1/3,4/7,-0.0478,0.9189,0.4719,0
alpha,F3-C3|FP2-F4,-0.3721,-1.8810,+0.1365,+0.0268,-0.2585,-1.5478,-0.2248,0.4253,0.3157,2/4,0/3,5/7,+0.2349,0.6122,0.2143,0
alpha,F3-C3|F4-C4,-0.0654,-0.1586,+0.3174,-0.1736,+0.2630,+0.1848,+0.2315,0.7133,0.7359,2/4,2/3,4/7,-0.1172,0.8024,0.1245,0
alpha,FP2-F8|F8-T8,-0.5579,-0.5905,+0.0440,-0.3228,+0.1884,+0.2096,-0.2819,0.5275,0.3541,2/4,1/3,4/7,+0.1131,0.8091,0.1548,0
alpha,FP2-F8|FP2-F4,+0.1374,-0.4844,+1.3306,-0.0498,-0.1984,-0.0460,-0.1181,0.7285,0.7625,2/4,0/3,5/7,+0.5599,0.1912,0.7629,0
alpha,FP2-F8|F4-C4,-0.2727,-0.3336,+1.1424,-0.1711,+0.4419,+0.0151,+0.3809,0.5142,0.5593,2/4,2/3,4/7,+0.0156,0.9735,0.4322,0
alpha,F8-T8|FP2-F4,+0.7999,-0.6724,+3.0103,-1.3771,-0.3857,-1.5673,-0.1335,0.4734,0.4414,2/4,0/3,5/7,+0.2099,0.6515,0.7064,0
alpha,F8-T8|F4-C4,+0.1130,-0.0222,-0.1165,+0.0698,-0.0479,-0.0355,-0.0383,0.7017,0.7914,2/4,0/3,5/7,+0.3030,0.5088,0.6740,0
alpha,FP2-F4|F4-C4,+0.2963,+0.7844,+1.2988,+1.9597,+0.4459,+0.6301,-0.1436,0.3905,0.3993,4/4,2/3,5/7,+0.5280,0.2232,0.5254,0
