band,pair,delta_chb01,delta_chb03,delta_chb05,delta_chb07,delta_chb11,delta_chb14,delta_chb21,conc_ictal_mean,conc_inter_mean,n_std_pos,n_inv_pos,sign_agreement,r_pointbiserial,p_pointbiserial,r_circlinear,flagged
theta,FP1-F7|F7-T7,+0.1888,-2.1345,-0.0367,+0.3023,-0.0316,+0.6093,-0.3627,0.9615,0.7988,3/4,0/3,6/7,+0.6571,0.1088,0.7859,1
theta,FP1-F7|FP1-F3,+0.4700,+1.1996,+0.5135,+0.0701,-2.4790,-0.5797,+0.1362,0.9691,0.8017,3/4,2/3,4/7,+0.2261,0.6259,0.6533,0
theta,FP1-F7|F3-C3,-0.2783,+0.5660,-0.1163,+0.2337,-0.2316,+0.3137,-0.1320,0.9096,0.9577,2/4,1/3,4/7,-0.0488,0.9173,0.4881,0
theta,FP1-F7|FP2-F8,+0.3352,+1.2997,+0.0637,-1.3316,-0.1527,+0.0381,-0.1691,0.8205,0.9786,3/4,1/3,5/7,-0.3776,0.4036,0.3312,0
theta,FP1-F7|F8-T8,+0.1358,-3.0410,+0.3391,+0.8443,-1.2166,+0.0726,-0.1931,0.9061,0.9510,4/4,0/3,7/7,+0.7479,0.0532,0.8540,1
theta,FP1-F7|FP2-F4,+0.7300,+1.0916,+0.4771,+0.0956,-1.8919,-0.7613,-0.1983,0.9268,0.8035,3/4,1/3,5/7,+0.2476,0.5924,0.5438,0
theta,FP1-F7|F4-C4,-0.0958,-2.6826,+0.3616,+0.5047,-0.6451,+0.3526,+0.1737,0.8514,0.9698,3/4,1/3,5/7,+0.6338,0.1264,0.7256,1
theta,F7-T7|FP1-F3,+0.7855,-0.3753,-0.6166,-0.0094,-2.3293,-0.6468,+0.0862,0.9567,0.8333,1/4,1/3,4/7,+0.4151,0.3545,0.3800,0
theta,F7-T7|F3-C3,-0.2228,+0.0330,-0.0494,-0.0063,-0.0929,-0.0710,-0.1230,0.9764,0.9889,0/4,1/3,5/7,-0.1696,0.7163,0.1829,0
theta,F7-T7|FP2-F8,+0.4258,-0.4474,+0.1206,-0.4454,+0.1722,-0.0540,+0.0608,0.9262,0.9486,2/4,2/3,4/7,+0.1377,0.7685,0.2343,0
theta,F7-T7|F8-T8,-0.1842,-0.5091,-0.1070,+0.7462,-1.3225,+0.3646,+0.3721,0.8824,0.8389,2/4,1/3,4/7,+0.5388,0.2121,0.5584,0
theta,F7-T7|FP2-F4,+0.7298,-0.6266,-0.0635,-0.0256,-2.1998,-0.9154,+0.2356,0.8163,0.7691,1/4,1/3,4/7,+0.4442,0.3180,0.4298,0
theta,F7-T7|F4-C4,-0.3193,-0.7918,+0.2053,+0.5323,-0.1337,+0.2770,+0.0623,0.8641,0.9594,3/4,1/3,5/7,+0.5638,0.1874,0.5704,0
theta,FP1-F3|F3-C3,-1.0668,+1.7669,+0.4770,-0.3543,+2.2936,+1.9060,-0.5422,0.8082,0.7591,2/4,2/3,4/7,-0.3691,0.4151,0.3999,0
theta,FP1-F3|FP2-F8,-0.2393,+1.5758,+0.6289,-1.7307,+1.3282,+0.5933,-0.5914,0.8040,0.8170,2/4,2/3,4/7,-0.4421,0.3206,0.4429,0
theta,FP1-F3|F8-T8,-0.8570,-0.3738,+0.6820,+0.1481,+0.0154,-0.3678,-0.2142,0.9307,0.7161,2/4,1/3,4/7,+0.1017,0.8282,0.5951,0
theta,FP1-F3|FP2-F4,+0.1732,-0.1929,+0.1476,-0.2799,-0.0349,+0.2517,-0.1662,0.9838,0.9952,3/4,0/3,6/7,+0.5271,0.2242,0.8330,1
theta,FP1-F3|F4-C4,-0.8515,+0.4546,+0.5668,+0.0335,+0.2783,+2.9743,-0.3728,0.9159,0.8260,3/4,2/3,4/7,+0.2453,0.5960,0.4397,0
theta,F3-C3|FP2-F8,+0.5440,+0.2590,+0.1496,-0.4607,+0.1449,-0.2521,+0.0763,0.9229,0.9719,2/4,3/3,5/7,-0.2661,0.5640,0.6562,0
theta,F3-C3|F8-T8,+0.0622,-0.4048,+0.2497,+0.6024,-0.4323,-0.0081,+0.1904,0.8972,0.9367,3/4,1/3,5/7,+0.6446,0.1181,0.6837,1
theta,F3-C3|FP2-F4,+0.8434,-2.5405,+0.0433,-0.3309,-0.7146,-1.4797,+0.3949,0.8307,0.8691,2/4,1/3,4/7,+0.3326,0.4661,0.3157,0
theta,F3-C3|F4-C4,-0.0317,-0.0318,+0.2618,+0.1125,-0.0809,+0.3075,+0.1059,0.9720,0.9890,3/4,1/3,5/7,+0.5842,0.1684,0.5842,0
theta,FP2-F8|F8-T8,-0.3653,+0.7974,-0.3975,+0.3740,+0.1316,+0.0993,+0.1576,0.8208,0.8097,2/4,3/3,5/7,-0.5611,0.1900,0.5604,0
theta,FP2-F8|FP2-F4,-0.3504,+0.2583,-0.1566,+0.2373,-0.4498,-0.3600,+0.1884,0.9389,0.9069,1/4,2/3,5/7,-0.2687,0.5601,0.6068,0
theta,FP2-F8|F4-C4,-0.9614,+0.5172,+0.0437,+1.6516,-0.2245,+0.2772,+0.2946,0.8837,0.9679,3/4,2/3,4/7,+0.0384,0.9348,0.5036,0
theta,F8-T8|FP2-F4,+0.5990,+0.1436,+1.7388,-1.1397,-0.0400,-0.1187,+0.1264,0.9039,0.7399,2/4,2/3,4/7,+0.1194,0.7988,0.5899,0
theta,F8-T8|F4-C4,-0.1977,+0.0971,+0.2595,-0.2728,+0.0510,-0.0287,-0.0305,0.9832,0.9910,1/4,2/3,5/7,-0.2958,0.5195,0.7021,0
theta,FP2-F4|F4-C4,-1.0712,+1.2836,-0.0095,+0.9029,+0.5552,+2.5338,-0.3638,0.9137,0.9092,2/4,2/3,4/7,+0.0440,0.9253,0.4513,0
alpha,FP1-F7|F7-T7,-0.3826,-1.7248,+1.7968,-0.2221,+0.4686,+1.0488,+1.6843,0.8752,0.7894,2/4,2/3,4/7,+0.1770,0.7042,0.3767,0
alpha,FP1-F7|FP1-F3,+0.2361,-0.7123,+0.6186,+0.0270,+1.9699,+0.1221,-0.2746,0.9156,0.9157,4/4,1/3,6/7,-0.0482,0.9183,0.9062,1
alpha,FP1-F7|F3-C3,+0.3416,+1.5957,-0.0275,-0.3308,+0.4649,+0.0790,-0.0677,0.8504,0.9196,2/4,2/3,4/7,-0.5486,0.2022,0.5520,0
alpha,FP1-F7|FP2-F8,-0.0637,+1.2236,+0.1015,-0.7201,+0.5526,+0.1597,+0.0399,0.8609,0.9830,2/4,3/3,5/7,-0.6613,0.1057,0.6747,1
alpha,FP1-F7|F8-T8,+0.3399,-0.0586,-0.6287,-0.7533,+1.2424,-0.0154,-0.0179,0.8141,0.8905,1/4,1/3,4/7,-0.5278,0.2234,0.5133,0
