clinical_variable,measure,spearman_rho,p,n,survives_bonferroni_alpha_0.00104
age_years,L_corr,0.412331,0.0565271,22,0
age_years,c_corr,-0.0345023,0.878849,22,0
age_years,D_bar,0.303733,0.169379,22,0
age_years,s_bar_norm,0.401584,0.0639521,22,0
age_years,d_pooled,0.279978,0.206956,22,0
age_years,t3_polarity_mag,-0.211881,0.343838,22,0
n_seizures,L_corr,-0.566252,0.00600935,22,0
n_seizures,c_corr,-0.378839,0.0820923,22,0
n_seizures,D_bar,-0.442456,0.0392095,22,0
n_seizures,s_bar_norm,-0.597774,0.00330223,22,0
n_seizures,d_pooled,-0.515243,0.0141261,22,0
n_seizures,t3_polarity_mag,-0.0716614,0.751312,22,0
mean_seizure_duration_sec,L_corr,0.457933,0.0321016,22,0
mean_seizure_duration_sec,c_corr,-0.10559,0.640026,22,0
mean_seizure_duration_sec,D_bar,0.655562,0.000926075,22,1
mean_seizure_duration_sec,s_bar_norm,0.454545,0.0335629,22,0
mean_seizure_duration_sec,d_pooled,0.667984,0.000680447,22,1
mean_seizure_duration_sec,t3_polarity_mag,0.0146851,0.948284,22,0
median_seizure_duration_sec,L_corr,0.428128,0.0468361,22,0
median_seizure_duration_sec,c_corr,0.0547868,0.808661,22,0
median_seizure_duration_sec,D_bar,0.665349,0.000727272,22,1
median_seizure_duration_sec,s_bar_norm,0.430952,0.0452486,22,0
median_seizure_duration_sec,d_pooled,0.628071,0.00174896,22,0
median_seizure_duration_sec,t3_polarity_mag,0.156497,0.486746,22,0
max_seizure_duration_sec,L_corr,0.256425,0.249353,22,0
max_seizure_duration_sec,c_corr,-0.147981,0.511046,22,0
max_seizure_duration_sec,D_bar,0.478396,0.0243111,22,0
max_seizure_duration_sec,s_bar_norm,0.260378,0.241873,22,0
max_seizure_duration_sec,d_pooled,0.500988,0.0175466,22,0
max_seizure_duration_sec,t3_polarity_mag,0.0728814,0.747211,22,0
n_seizure_files,L_corr,-0.469666,0.0274255,22,0
n_seizure_files,c_corr,-0.488523,0.0210594,22,0
n_seizure_files,D_bar,-0.331771,0.131449,22,0
n_seizure_files,s_bar_norm,-0.512095,0.0148306,22,0
n_seizure_files,d_pooled,-0.420165,0.0515452,22,0
n_seizure_files,t3_polarity_mag,0.0571775,0.800471,22,0
total_recording_hours,L_corr,0.281762,0.203955,22,0
total_recording_hours,c_corr,-0.426313,0.0478788,22,0
total_recording_hours,D_bar,0.43083,0.0453161,22,0
total_recording_hours,s_bar_norm,0.212874,0.341529,22,0
total_recording_hours,d_pooled,0.326934,0.137515,22,0
total_recording_hours,t3_polarity_mag,-0.225925,0.312028,22,0
seizure_density_per_hour,L_corr,-0.532468,0.0107379,22,0
seizure_density_per_hour,c_corr,-0.167702,0.455677,22,0
seizure_density_per_hour,D_bar,-0.492942,0.0197548,22,0
seizure_density_per_hour,s_bar_norm,-0.52908,0.0113455,22,0
seizure_density_per_hour,d_pooled,-0.513269,0.0145645,22,0
seizure_density_per_hour,t3_polarity_mag,0.0395369,0.861325,22,0
