clinical_variable,measure,spearman_rho,p,n,survives_bonferroni_alpha_0.00104
age_years,L_corr,0.548643,0.00819241,22,0
age_years,c_corr,0.0539838,0.816223,21,0
age_years,D_bar,0.361426,0.098392,22,0
age_years,s_bar_norm,0.524322,0.012246,22,0
age_years,d_pooled,0.477376,0.0246595,22,0
age_years,t3_polarity_mag,-0.211881,0.343838,22,0
n_seizures,L_corr,-0.230398,0.302286,22,0
n_seizures,c_corr,0.0942758,0.684391,21,0
n_seizures,D_bar,-0.0808113,0.720718,22,0
n_seizures,s_bar_norm,-0.193718,0.387695,22,0
n_seizures,d_pooled,-0.092847,0.681102,22,0
n_seizures,t3_polarity_mag,-0.0716614,0.751312,22,0
mean_seizure_duration_sec,L_corr,0.00621118,0.978115,22,0
mean_seizure_duration_sec,c_corr,-0.18961,0.410391,21,0
mean_seizure_duration_sec,D_bar,0.10559,0.640026,22,0
mean_seizure_duration_sec,s_bar_norm,0.0141163,0.950285,22,0
mean_seizure_duration_sec,d_pooled,0.142857,0.525942,22,0
mean_seizure_duration_sec,t3_polarity_mag,0.0146851,0.948284,22,0
median_seizure_duration_sec,L_corr,0.124259,0.58167,22,0
median_seizure_duration_sec,c_corr,-0.28191,0.215691,21,0
median_seizure_duration_sec,D_bar,0.311776,0.157804,22,0
median_seizure_duration_sec,s_bar_norm,0.0508331,0.822247,22,0
median_seizure_duration_sec,d_pooled,0.209545,0.349308,22,0
median_seizure_duration_sec,t3_polarity_mag,0.156497,0.486746,22,0
max_seizure_duration_sec,L_corr,-0.0355832,0.875082,22,0
max_seizure_duration_sec,c_corr,-0.0824943,0.722219,21,0
max_seizure_duration_sec,D_bar,0.0248517,0.912586,22,0
max_seizure_duration_sec,s_bar_norm,-0.00734256,0.974129,22,0
max_seizure_duration_sec,d_pooled,0.136685,0.544155,22,0
max_seizure_duration_sec,t3_polarity_mag,0.0728814,0.747211,22,0
n_seizure_files,L_corr,-0.0748401,0.740641,22,0
n_seizure_files,c_corr,0.160997,0.485694,21,0
n_seizure_files,D_bar,0.0601078,0.79046,22,0
n_seizure_files,s_bar_norm,0.00471433,0.983388,22,0
n_seizure_files,d_pooled,0.0559827,0.804561,22,0
n_seizure_files,t3_polarity_mag,0.0571775,0.800471,22,0
total_recording_hours,L_corr,0.0321852,0.886933,22,0
total_recording_hours,c_corr,-0.346753,0.123571,21,0
total_recording_hours,D_bar,0.163185,0.468077,22,0
total_recording_hours,s_bar_norm,-0.042349,0.851564,22,0
total_recording_hours,d_pooled,0.15528,0.490185,22,0
total_recording_hours,t3_polarity_mag,-0.225925,0.312028,22,0
seizure_density_per_hour,L_corr,-0.164314,0.464961,22,0
seizure_density_per_hour,c_corr,0.255844,0.262973,21,0
seizure_density_per_hour,D_bar,-0.102202,0.650853,22,0
seizure_density_per_hour,s_bar_norm,-0.0762281,0.735995,22,0
seizure_density_per_hour,d_pooled,-0.104461,0.643627,22,0
seizure_density_per_hour,t3_polarity_mag,0.0395369,0.861325,22,0
