patient,K,c_corr_obs,null_median,null_iqr,null_q025,null_q975,p_two_sided,z,note
chb01,7,0.983332,1.00033,0.00492132,0.991537,1.00634,0.003998,-2.87832,
chb02,3,1.00521,1.01046,0.0229785,0.876121,1.02993,0.754623,-0.31255,
chb03,7,0.961694,1.0006,0.00566413,0.990287,1.00686,0.0009995,-3.29067,
chb04,4,0.870705,1.01258,0.0627756,0.884253,1.06431,0.031984,-2.14461,
chb05,5,0.984194,1.00126,0.00851526,0.982918,1.00935,0.0629685,-1.85941,
chb06,10,0.844272,0.971912,0.660954,0.526921,5.70102,0.740253,-0.331518,
chb07,3,0.947904,1.00245,0.0116321,0.973327,1.01168,0.001999,-3.09038,
chb08,5,0.986968,1.00075,0.00388676,0.991888,1.00456,0.005997,-2.74795,
chb09,4,0.999003,1.00026,0.00200713,0.995979,1.00222,0.466767,-0.72775,
chb10,7,0.839566,1.00412,0.0324594,0.943565,1.03744,0.0009995,-3.29067,
chb11,3,0.936494,1.00185,0.0479689,0.90068,1.08977,0.156922,-1.4155,
chb13,12,0.471092,1.01007,0.224511,0.706521,1.52675,0.0009995,-3.29067,
chb14,8,0.898347,1.01071,0.160614,0.790765,1.27448,0.343828,-0.946629,
chb15,20,0.0942329,0.582131,1.01333,-7.38867,7.17195,0.533475,-0.62271,
chb16,7,1,,,,,,,excluded (nothing to shuffle or c undefined)
chb17,3,0.96081,1.00307,0.0172578,0.966903,1.01804,0.029985,-2.17029,
chb18,6,0.514065,1.00744,0.072687,0.868711,1.11705,0.0009995,-3.29067,
chb19,3,1.01138,1.00449,0.0215162,0.952323,1.01973,0.623688,0.49063,
chb20,8,1.06338,1.01056,0.118738,0.825995,1.16752,0.525737,0.634527,
chb21,4,1.05013,1.01896,0.100233,0.846938,1.1205,0.629685,0.48217,
chb22,3,0.999694,1.00113,0.00764738,0.985428,1.00877,0.812594,-0.237081,
chb23,7,0.984712,1.00059,0.0157406,0.972381,1.02437,0.221889,-1.22152,
COHORT,21,,,,,,,-7.04005,stouffer_z=-7.040 p=0.0000; sign test 3/21 above null median p=0.001
