patient,K,c_corr_obs,null_median,null_iqr,null_q025,null_q975,p_two_sided,z,note
chb01,7,0.785406,1.00476,0.0377477,0.940122,1.04273,0.0009995,-3.29067,
chb02,3,0.672102,1.01741,0.0674973,0.870206,1.06493,0.0009995,-3.29067,
chb03,7,0.610384,1.00464,0.071395,0.882855,1.09143,0.0009995,-3.29067,
chb04,4,0.0228814,1.10207,0.641505,0.404738,2.01989,0.0009995,-3.29067,
chb05,5,0.0125137,1.15377,1.2822,0.264309,8.08969,0.00100251,-3.28982,
chb06,10,0.419207,1.0203,0.230306,0.728731,1.347,0.0009995,-3.29067,
chb07,3,-0.742853,-2.19576,3.19973,-43.8859,-0.771052,0.0472441,1.98411,
chb08,5,0.865195,1.00308,0.0291793,0.947399,1.034,0.0009995,-3.29067,
chb09,4,0.218393,1.03303,0.245191,0.672977,1.29227,0.0009995,-3.29067,
chb10,7,0.216506,1.02161,0.279089,0.674161,1.42797,0.0009995,-3.29067,
chb11,3,0.765245,1.01826,0.0933153,0.837056,1.1053,0.0049975,-2.80719,
chb13,12,0.507462,1.00421,0.0850572,0.870335,1.10795,0.0009995,-3.29067,
chb14,8,0.40738,1.01281,0.169893,0.776008,1.2548,0.0009995,-3.29067,
chb15,20,0.443377,1.00485,0.0779183,0.890276,1.112,0.0009995,-3.29067,
chb16,10,0.369034,1.01484,0.189518,0.761673,1.29457,0.0009995,-3.29067,
chb17,3,-0.183561,1.2405,1.42408,0.138916,4.836,0.0009995,-3.29067,
chb18,6,0.52141,1.01157,0.0944161,0.852058,1.10629,0.0009995,-3.29067,
chb19,3,0.965532,1.0009,0.00746416,0.985532,1.00766,0.0009995,-3.29067,
chb20,8,0.836018,1.00287,0.0358561,0.936893,1.04343,0.0009995,-3.29067,
chb21,4,0.928297,1.00351,0.0261368,0.955038,1.03108,0.005997,-2.74795,
chb22,3,0.136904,1.11915,0.720829,0.3202,2.23615,0.005997,-2.74795,
chb23,7,,,,,,,,excluded (nothing to shuffle or c undefined)
COHORT,21,,,,,,,-13.5861,stouffer_z=-13.586 p=0.0000; sign test 1/21 above null median p=0.000
