clinical_variable,measure,spearman_rho,p,n,survives_bonferroni_alpha_0.00104
age_years,L_corr,0.388293,0.0819593,21,0
age_years,c_corr,-0.0201626,0.930872,21,0
age_years,D_bar,0.273171,0.230867,21,0
age_years,s_bar_norm,0.389594,0.0808518,21,0
age_years,d_pooled,0.253008,0.268484,21,0
age_years,t3_polarity_mag,-0.210475,0.359785,21,0
n_seizures,L_corr,-0.531604,0.0131327,21,0
n_seizures,c_corr,-0.463585,0.0342878,21,0
n_seizures,D_bar,-0.400189,0.0722429,21,0
n_seizures,s_bar_norm,-0.575189,0.00637363,21,0
n_seizures,d_pooled,-0.487359,0.0250322,21,0
n_seizures,t3_polarity_mag,-0.0541685,0.815604,21,0
mean_seizure_duration_sec,L_corr,0.432468,0.0502299,21,0
mean_seizure_duration_sec,c_corr,-0.00909091,0.968803,21,0
mean_seizure_duration_sec,D_bar,0.618182,0.00281948,21,0
mean_seizure_duration_sec,s_bar_norm,0.436364,0.0479694,21,0
mean_seizure_duration_sec,d_pooled,0.645455,0.0015779,21,0
mean_seizure_duration_sec,t3_polarity_mag,0.016239,0.944302,21,0
median_seizure_duration_sec,L_corr,0.404027,0.0693004,21,0
median_seizure_duration_sec,c_corr,0.159143,0.490799,21,0
median_seizure_duration_sec,D_bar,0.635271,0.00197221,21,0
median_seizure_duration_sec,s_bar_norm,0.416369,0.0604498,21,0
median_seizure_duration_sec,d_pooled,0.60799,0.00345642,21,0
median_seizure_duration_sec,t3_polarity_mag,0.163743,0.478185,21,0
max_seizure_duration_sec,L_corr,0.213056,0.353786,21,0
max_seizure_duration_sec,c_corr,-0.0630075,0.786141,21,0
max_seizure_duration_sec,D_bar,0.420266,0.0578418,21,0
max_seizure_duration_sec,s_bar_norm,0.2228,0.331671,21,0
max_seizure_duration_sec,d_pooled,0.45924,0.0362371,21,0
max_seizure_duration_sec,t3_polarity_mag,0.0792723,0.732678,21,0
n_seizure_files,L_corr,-0.445722,0.0428602,21,0
n_seizure_files,c_corr,-0.526142,0.0142856,21,0
n_seizure_files,D_bar,-0.314868,0.164464,21,0
n_seizure_files,s_bar_norm,-0.491384,0.0236836,21,0
n_seizure_files,d_pooled,-0.402104,0.0707635,21,0
n_seizure_files,t3_polarity_mag,0.0702206,0.762301,21,0
total_recording_hours,L_corr,0.271429,0.233974,21,0
total_recording_hours,c_corr,-0.379221,0.0899996,21,0
total_recording_hours,D_bar,0.38961,0.0808379,21,0
total_recording_hours,s_bar_norm,0.207792,0.366082,21,0
total_recording_hours,d_pooled,0.297403,0.19044,21,0
total_recording_hours,t3_polarity_mag,-0.259175,0.256592,21,0
seizure_density_per_hour,L_corr,-0.522078,0.0151958,21,0
seizure_density_per_hour,c_corr,-0.276623,0.224791,21,0
seizure_density_per_hour,D_bar,-0.457143,0.0372084,21,0
seizure_density_per_hour,s_bar_norm,-0.52987,0.0134902,21,0
seizure_density_per_hour,d_pooled,-0.494805,0.0225836,21,0
seizure_density_per_hour,t3_polarity_mag,0.0565119,0.807768,21,0
