clinical_variable,measure,spearman_rho,p,n,survives_bonferroni_alpha_0.00104
age_years,L_corr,0.365869,0.148667,17,0
age_years,c_corr,-0.160835,0.537456,17,0
age_years,D_bar,0.163291,0.531179,17,0
age_years,s_bar_norm,0.358503,0.157643,17,0
age_years,d_pooled,0.197668,0.44697,17,0
age_years,t3_polarity_mag,-0.269656,0.295246,17,0
n_seizures,L_corr,-0.505101,0.0386318,17,0
n_seizures,c_corr,-0.388828,0.122952,17,0
n_seizures,D_bar,-0.477596,0.0525235,17,0
n_seizures,s_bar_norm,-0.542609,0.0244167,17,0
n_seizures,d_pooled,-0.507602,0.0375238,17,0
n_seizures,t3_polarity_mag,0.0206418,0.937324,17,0
mean_seizure_duration_sec,L_corr,0.169118,0.516418,17,0
mean_seizure_duration_sec,c_corr,0.142157,0.586263,17,0
mean_seizure_duration_sec,D_bar,0.409314,0.102784,17,0
mean_seizure_duration_sec,s_bar_norm,0.22549,0.384197,17,0
mean_seizure_duration_sec,d_pooled,0.487745,0.0470211,17,0
mean_seizure_duration_sec,t3_polarity_mag,0.118945,0.649333,17,0
median_seizure_duration_sec,L_corr,0.338235,0.184212,17,0
median_seizure_duration_sec,c_corr,-0.14951,0.566831,17,0
median_seizure_duration_sec,D_bar,0.514706,0.0345077,17,0
median_seizure_duration_sec,s_bar_norm,0.308824,0.227786,17,0
median_seizure_duration_sec,d_pooled,0.5,0.040969,17,0
median_seizure_duration_sec,t3_polarity_mag,0.279583,0.277123,17,0
max_seizure_duration_sec,L_corr,-0.0367647,0.888593,17,0
max_seizure_duration_sec,c_corr,0.0294118,0.91078,17,0
max_seizure_duration_sec,D_bar,0.218137,0.400295,17,0
max_seizure_duration_sec,s_bar_norm,0.0122549,0.962768,17,0
max_seizure_duration_sec,d_pooled,0.289216,0.260203,17,0
max_seizure_duration_sec,t3_polarity_mag,0.129982,0.619031,17,0
n_seizure_files,L_corr,-0.391069,0.12062,17,0
n_seizure_files,c_corr,-0.578158,0.0150558,17,0
n_seizure_files,D_bar,-0.387171,0.124695,17,0
n_seizure_files,s_bar_norm,-0.43914,0.077803,17,0
n_seizure_files,d_pooled,-0.397565,0.114038,17,0
n_seizure_files,t3_polarity_mag,0.121553,0.642125,17,0
total_recording_hours,L_corr,0.330882,0.194543,17,0
total_recording_hours,c_corr,-0.382353,0.129863,17,0
total_recording_hours,D_bar,0.382353,0.129863,17,0
total_recording_hours,s_bar_norm,0.294118,0.251844,17,0
total_recording_hours,d_pooled,0.387255,0.124606,17,0
total_recording_hours,t3_polarity_mag,-0.256285,0.320752,17,0
seizure_density_per_hour,L_corr,-0.571078,0.0166464,17,0
seizure_density_per_hour,c_corr,-0.223039,0.389523,17,0
seizure_density_per_hour,D_bar,-0.595588,0.0116467,17,0
seizure_density_per_hour,s_bar_norm,-0.593137,0.0120851,17,0
seizure_density_per_hour,d_pooled,-0.612745,0.0089195,17,0
seizure_density_per_hour,t3_polarity_mag,0.128755,0.62237,17,0
