patient,K,c_corr_obs,null_median,null_iqr,null_q025,null_q975,p_two_sided,z,note
chb01,7,0.992173,1.00019,0.0102702,0.985568,1.01362,0.302849,-1.03034,
chb03,7,0.962417,0.999925,0.018058,0.975238,1.02388,0.001999,-3.09038,
chb04,4,0.913955,1.01737,0.20197,0.738706,1.40193,0.501749,-0.67174,
chb05,5,1.00081,1.00372,0.0270171,0.955886,1.02987,0.892554,-0.135074,
chb07,3,0.962805,1.00584,0.0263023,0.947576,1.02729,0.138931,-1.47979,
chb08,5,0.992562,1.00136,0.00847962,0.984292,1.00988,0.255872,-1.1362,
chb09,4,1.00109,1.00005,0.00226266,0.996457,1.0027,0.522739,0.63913,
chb10,7,0.896665,1.00098,0.0900274,0.880254,1.13755,0.091954,-1.68518,
chb11,3,1.05177,1.01473,0.0740483,0.850677,1.09583,0.426787,0.794702,
chb13,10,0.404945,1.06741,0.755485,0.438895,3.4932,0.027,-2.21152,
chb15,20,-0.603714,,,,,,,excluded (nothing to shuffle or c undefined)
chb17,3,0.98764,1.00602,0.0384166,0.929581,1.04243,0.547726,-0.601171,
chb18,6,0.530246,1.04625,0.186422,0.550472,1.30621,0.011994,-2.51232,
chb19,3,1.0455,1.00835,0.0597239,0.912985,1.05235,0.276862,1.0874,
chb20,8,1.22541,1.00876,0.157397,0.84128,1.21426,0.043978,2.0143,
chb22,3,0.996096,1.00077,0.0128968,0.981836,1.01655,0.587706,-0.542163,
chb23,7,1.00869,1.00077,0.0255458,0.965067,1.03641,0.688656,0.40068,
COHORT,16,,,,,,,-2.53992,stouffer_z=-2.540 p=0.0111; sign test 5/16 above null median p=0.210
