patient,n_channel_windows,frac_a_gt_pi4,frac_c_gt_pi4,frac_b_deadzone_E,frac_b_deadzone_I,frac_fully_readable,median_a,median_c
chb01,896,0.2176,0.0190,0.1987,0.1830,0.4855,0.4784,0.5766
chb02,416,0.2067,0.0000,0.2212,0.1707,0.4832,0.4219,0.5077
chb03,848,0.2264,0.0153,0.1757,0.2146,0.4634,0.4287,0.5302
chb04,664,0.2078,0.0286,0.2048,0.2063,0.4593,0.4252,0.5270
chb05,904,0.1991,0.0697,0.2013,0.1670,0.4679,0.3941,0.5346
chb06,752,0.2074,0.0186,0.2088,0.2128,0.4548,0.4506,0.4605
chb07,560,0.2411,0.0161,0.1696,0.2268,0.4429,0.4041,0.5357
chb08,1264,0.2104,0.0047,0.1954,0.1922,0.4842,0.4476,0.4606
chb09,560,0.2143,0.0071,0.1839,0.2125,0.4714,0.4306,0.4707
chb10,896,0.1931,0.0100,0.2009,0.2031,0.4877,0.2875,0.4251
chb11,1048,0.1689,0.0162,0.2052,0.2061,0.4857,0.3846,0.4943
chb13,1248,0.2179,0.0048,0.1827,0.2115,0.4736,0.4686,0.4778
chb14,664,0.2199,0.0768,0.1883,0.1913,0.4654,0.4425,0.5105
chb15,3096,0.2077,0.0436,0.1993,0.1848,0.4790,0.4049,0.5709
chb16,696,0.2385,0.0029,0.1940,0.2069,0.4497,0.4755,0.5140
chb17,536,0.2780,0.0112,0.1772,0.1959,0.4440,0.5365,0.5508
chb18,704,0.2188,0.0284,0.1989,0.1719,0.4929,0.4527,0.5425
chb19,472,0.2500,0.0106,0.1737,0.2373,0.4449,0.4842,0.5093
chb20,784,0.2015,0.0089,0.1645,0.2143,0.4885,0.4004,0.4732
chb21,496,0.2601,0.0242,0.2218,0.1794,0.4335,0.4396,0.5972
chb22,448,0.2567,0.0379,0.2031,0.2009,0.4308,0.4729,0.5261
chb23,864,0.2199,0.0104,0.1806,0.2002,0.4769,0.3847,0.5027
POOLED,18816,0.2157,0.0234,0.1936,0.1975,0.4710,,
