p,q,cos,kappa,auc_p_given_q,cos_shape,kappa_shape,auc_shape
chb01,chb02,0.93015,0.02154,1.00000,0.07222,0.29383,0.59057
chb01,chb03,0.91554,0.01346,1.00000,-0.43206,0.25305,0.06604
chb01,chb04,0.95071,0.03025,1.00000,0.62452,0.25519,0.98113
chb01,chb05,0.94368,0.01542,1.00000,0.20379,0.23290,0.67170
chb01,chb06,-0.04447,0.08718,0.30000,-0.17037,0.28917,0.29245
chb01,chb07,0.95342,0.02505,1.00000,0.62305,0.21894,0.95472
chb01,chb08,0.86349,0.01951,1.00000,-0.42590,0.20394,0.10000
chb01,chb09,0.94690,0.00932,1.00000,0.05561,0.22761,0.58868
chb01,chb10,0.82926,0.04497,1.00000,0.38981,0.24584,0.95660
chb01,chb11,0.89734,0.02334,1.00000,0.03822,0.22141,0.55849
chb01,chb13,0.21194,0.09652,0.99811,0.04211,0.32737,0.59057
chb01,chb14,-0.88108,0.04531,0.00000,-0.56142,0.26478,0.02453
chb01,chb15,-0.68839,0.04573,0.00000,0.45108,0.25643,0.96792
chb01,chb16,0.93325,0.02696,1.00000,0.49812,0.22213,0.91509
chb01,chb17,0.92137,0.02759,1.00000,0.44544,0.21728,0.98679
chb01,chb18,0.87872,0.04259,1.00000,0.71858,0.22539,0.96038
chb01,chb19,0.94659,0.02239,1.00000,0.39961,0.25176,0.82264
chb01,chb20,0.86927,0.04934,1.00000,0.45589,0.29471,0.98491
chb01,chb21,-0.32048,0.08482,0.00000,-0.07039,0.29642,0.36604
chb01,chb22,0.90224,0.02659,1.00000,0.19409,0.22860,0.70943
chb01,chb23,0.92611,0.01884,1.00000,0.35664,0.16981,0.83208
chb02,chb01,0.93015,0.02154,1.00000,0.07222,0.29383,0.58571
chb02,chb03,0.93756,0.00901,1.00000,-0.40186,0.21014,0.17143
chb02,chb04,0.93844,0.02375,1.00000,0.48706,0.24845,0.85714
chb02,chb05,0.95849,0.01225,1.00000,0.22793,0.22949,0.74286
chb02,chb06,-0.06632,0.05256,0.25714,-0.30166,0.21620,0.24286
chb02,chb07,0.91098,0.01937,1.00000,0.14695,0.20994,0.65714
chb02,chb08,0.92247,0.01740,1.00000,0.03339,0.22559,0.50000
chb02,chb09,0.96550,0.00850,1.00000,0.13603,0.25743,0.70000
chb02,chb10,0.71757,0.02772,1.00000,-0.36288,0.18795,0.19048
chb02,chb11,0.88510,0.01888,1.00000,-0.27886,0.22220,0.25714
chb02,chb13,0.34987,0.07905,0.99524,0.61789,0.33251,0.91429
chb02,chb14,-0.82393,0.03119,0.00000,-0.18348,0.22606,0.28571
chb02,chb15,-0.76285,0.05278,0.00000,0.13426,0.36707,0.69048
chb02,chb16,0.90236,0.02451,1.00000,0.14743,0.25041,0.66667
chb02,chb17,0.85755,0.02907,1.00000,-0.21745,0.28393,0.30476
chb02,chb18,0.79687,0.03547,1.00000,0.26950,0.23274,0.72857
chb02,chb19,0.95400,0.01673,1.00000,0.37859,0.23328,0.78571
chb02,chb20,0.79332,0.04693,1.00000,-0.09907,0.34763,0.34762
chb02,chb21,-0.25674,0.08310,0.02857,0.21151,0.36013,0.74286
chb02,chb22,0.89768,0.02514,1.00000,0.02950,0.26809,0.53810
chb02,chb23,0.90002,0.01883,1.00000,-0.02105,0.21048,0.49048
chb03,chb01,0.91554,0.01346,1.00000,-0.43206,0.25305,0.13191
chb03,chb02,0.93756,0.00901,1.00000,-0.40186,0.21014,0.16596
chb03,chb04,0.87181,0.01979,1.00000,-0.47946,0.28538,0.18723
chb03,chb05,0.94150,0.01168,1.00000,-0.48528,0.30167,0.29362
chb03,chb06,0.12258,0.05353,0.90638,0.65462,0.30352,0.89574
chb03,chb07,0.88201,0.01522,1.00000,-0.42832,0.22731,0.19787
chb03,chb08,0.94966,0.01398,1.00000,0.28913,0.24991,0.75106
chb03,chb09,0.97635,0.00818,1.00000,0.04817,0.34147,0.46170
chb03,chb10,0.79798,0.02649,1.00000,0.14486,0.24759,0.59149
chb03,chb11,0.94834,0.01432,1.00000,0.42349,0.23221,0.77234
chb03,chb13,0.14341,0.05731,0.97872,-0.36277,0.33229,0.20638
chb03,chb14,-0.75438,0.02451,0.00000,0.55974,0.24481,0.87021
chb03,chb15,-0.81464,0.02769,0.00000,-0.20067,0.26548,0.36170
chb03,chb16,0.85939,0.01651,1.00000,-0.58656,0.23246,0.13617
chb03,chb17,0.90095,0.02068,1.00000,0.10971,0.27848,0.59362
chb03,chb18,0.71141,0.02323,1.00000,-0.50248,0.21010,0.18085
chb03,chb19,0.91890,0.01430,1.00000,-0.41599,0.27486,0.21702
chb03,chb20,0.80921,0.02848,1.00000,-0.09594,0.29080,0.34468
chb03,chb21,-0.31729,0.04552,0.00000,-0.04318,0.27194,0.42553
chb03,chb22,0.90157,0.02447,1.00000,-0.09643,0.35969,0.42128
chb03,chb23,0.91259,0.02299,1.00000,-0.04048,0.35415,0.52979
chb04,chb01,0.95071,0.03025,0.87778,0.62452,0.25519,0.91556
chb04,chb02,0.93844,0.02375,0.86889,0.48706,0.24845,0.91778
chb04,chb03,0.87181,0.01979,0.83333,-0.47946,0.28538,0.14889
chb04,chb05,0.93047,0.02399,0.86667,0.38738,0.27790,0.78222
chb04,chb06,-0.14458,0.11023,0.23111,-0.38467,0.28038,0.21556
chb04,chb07,0.92270,0.03056,0.87111,0.48266,0.20483,0.87778
chb04,chb08,0.84404,0.03035,0.84222,-0.22402,0.24336,0.25556
chb04,chb09,0.92069,0.01311,0.85556,0.18240,0.24551,0.68222
chb04,chb10,0.74455,0.05435,0.82667,0.05711,0.22785,0.64667
chb04,chb11,0.82186,0.03128,0.83556,-0.28817,0.22763,0.22667
chb04,chb13,0.28121,0.11585,0.94667,0.23100,0.30133,0.77778
chb04,chb14,-0.87236,0.05278,0.10667,-0.51687,0.23652,0.06667
chb04,chb15,-0.64262,0.05171,0.21778,0.42484,0.22239,0.81111
chb04,chb16,0.90393,0.04501,0.87333,0.39331,0.28438,0.80667
chb04,chb17,0.84879,0.04622,0.84889,0.08945,0.27920,0.62889
chb04,chb18,0.89186,0.04039,0.93333,0.71189,0.16389,0.93778
chb04,chb19,0.93593,0.02418,0.86667,0.49468,0.20858,0.86889
chb04,chb20,0.79705,0.07721,0.85778,0.14830,0.35362,0.69556
chb04,chb21,-0.25226,0.10753,0.24222,0.10015,0.28816,0.56889
chb04,chb22,0.85605,0.04125,0.86000,0.05113,0.27200,0.53556
chb04,chb23,0.84951,0.03209,0.85333,-0.03740,0.22179,0.44667
chb05,chb01,0.94368,0.01542,1.00000,0.20379,0.23290,0.62353
chb05,chb02,0.95849,0.01225,1.00000,0.22793,0.22949,0.72794
chb05,chb03,0.94150,0.01168,1.00000,-0.48528,0.30167,0.12941
chb05,chb04,0.93047,0.02399,1.00000,0.38738,0.27790,0.85000
chb05,chb06,-0.10702,0.06030,0.10294,-0.51948,0.27462,0.08971
chb05,chb07,0.92309,0.02457,1.00000,0.24588,0.29486,0.68529
chb05,chb08,0.93905,0.01574,1.00000,0.19883,0.22595,0.65735
chb05,chb09,0.97349,0.00770,1.00000,0.23287,0.25818,0.77794
chb05,chb10,0.77129,0.03623,1.00000,-0.03194,0.27197,0.43382
chb05,chb11,0.86164,0.01668,1.00000,-0.68268,0.21730,0.08382
chb05,chb13,0.22568,0.05136,0.90588,0.10028,0.23917,0.58971
chb05,chb14,-0.83551,0.04090,0.00000,-0.25904,0.32811,0.31471
chb05,chb15,-0.82172,0.04438,0.00000,-0.26992,0.34172,0.17941
chb05,chb16,0.94856,0.02227,1.00000,0.62792,0.25190,0.93676
chb05,chb17,0.86724,0.02481,1.00000,-0.19075,0.26836,0.31176
chb05,chb18,0.82318,0.04096,1.00000,0.45787,0.29761,0.84853
chb05,chb19,0.95394,0.01888,1.00000,0.33569,0.29151,0.76176
chb05,chb20,0.83511,0.03458,1.00000,0.19492,0.28355,0.73088
chb05,chb21,-0.32213,0.05006,0.00441,-0.07114,0.24018,0.40882
chb05,chb22,0.85735,0.02433,1.00000,-0.50436,0.28721,0.18088
chb05,chb23,0.86241,0.01748,1.00000,-0.55291,0.21627,0.14265
chb06,chb01,-0.04447,0.08718,0.38571,-0.17037,0.28917,0.21429
chb06,chb02,-0.06632,0.05256,0.39286,-0.30166,0.21620,0.10000
chb06,chb03,0.12258,0.05353,0.47143,0.65462,0.30352,0.99286
chb06,chb04,-0.14458,0.11023,0.35714,-0.38467,0.28038,0.04286
chb06,chb05,-0.10702,0.06030,0.37143,-0.51948,0.27462,0.03571
chb06,chb07,-0.09773,0.10977,0.37143,-0.27516,0.28925,0.17143
chb06,chb08,0.02002,0.09356,0.43571,0.04148,0.29495,0.54286
chb06,chb09,-0.01659,0.04229,0.42143,-0.17489,0.31129,0.20714
chb06,chb10,0.09526,0.16307,0.45714,0.14755,0.26879,0.70000
chb06,chb11,0.21290,0.07158,0.51429,0.58967,0.20477,0.97857
chb06,chb13,-0.26373,0.27401,0.20000,-0.27126,0.28022,0.14286
chb06,chb14,0.19776,0.18828,0.66429,0.35893,0.33173,0.90714
chb06,chb15,-0.04826,0.16375,0.55714,-0.07174,0.27687,0.33571
chb06,chb16,-0.20053,0.10522,0.35000,-0.51461,0.26139,0.03571
chb06,chb17,0.14424,0.13649,0.47857,0.32698,0.32414,0.99286
chb06,chb18,-0.18154,0.19640,0.36429,-0.29862,0.31335,0.07143
chb06,chb19,-0.08077,0.08297,0.38571,-0.29733,0.28135,0.17857
chb06,chb20,0.03202,0.17144,0.44286,0.04682,0.30873,0.75000
chb06,chb21,-0.14541,0.25773,0.31429,-0.15081,0.27157,0.25714
chb06,chb22,0.03639,0.11911,0.42857,0.07703,0.30876,0.54286
chb06,chb23,0.08698,0.11353,0.44286,0.21805,0.30846,0.79286
chb07,chb01,0.95342,0.02505,0.99487,0.62305,0.21894,0.96667
chb07,chb02,0.91098,0.01937,0.99487,0.14695,0.20994,0.71795
chb07,chb03,0.88201,0.01522,0.98974,-0.42832,0.22731,0.07179
chb07,chb04,0.92270,0.03056,0.99487,0.48266,0.20483,0.88718
chb07,chb05,0.92309,0.02457,0.99487,0.24588,0.29486,0.78205
chb07,chb06,-0.09773,0.10977,0.19231,-0.27516,0.28925,0.16410
chb07,chb08,0.79737,0.02559,0.98462,-0.66477,0.21256,0.01538
chb07,chb09,0.91273,0.01213,0.99231,-0.07513,0.23527,0.42564
chb07,chb10,0.85578,0.04607,0.99487,0.52250,0.20009,0.94359
chb07,chb11,0.87653,0.03231,0.98974,0.07319,0.24357,0.55897
chb07,chb13,0.30798,0.11896,0.99231,0.30819,0.32055,0.92308
chb07,chb14,-0.91147,0.04133,0.00000,-0.69518,0.19186,0.04872
chb07,chb15,-0.72801,0.04333,0.01282,0.08021,0.19302,0.70769
chb07,chb16,0.94069,0.05047,0.99744,0.61387,0.33034,0.95897
chb07,chb17,0.89990,0.03258,0.99231,0.38006,0.20385,0.91538
chb07,chb18,0.89761,0.03043,1.00000,0.74291,0.12790,0.95128
chb07,chb19,0.97543,0.01998,0.99487,0.81653,0.17852,0.95385
chb07,chb20,0.87891,0.07163,0.99744,0.51950,0.33990,0.96154
chb07,chb21,-0.37420,0.06531,0.00000,-0.22980,0.18133,0.13333
chb07,chb22,0.92609,0.03790,0.99487,0.49536,0.25883,0.98205
