subject,n_open,n_closed,d_logtr,p_logtr,d_S,p_S,S_open,S_closed,d_plv,plv_open,plv_closed,alpha_ratio_best
S001,15,15,0.649896,4.80632e-05,0.0793633,0.00897202,0.834326,0.913689,-0.0970817,0.79123,0.694148,12.0998
S002,15,15,0.897519,0.000222893,-0.100992,0.146576,1.07002,0.969023,0.0411322,0.722946,0.764079,11.2091
S003,15,15,0.479719,0.00323014,-0.044949,0.589739,0.759493,0.714544,-0.0796845,0.854081,0.774397,17.3725
S004,15,15,0.519474,0.000114571,0.0979314,0.000670903,0.672471,0.770403,-0.0443651,0.85928,0.814915,25.3147
S005,15,15,-0.0862983,0.0464867,-0.00243904,0.678302,1.00761,1.00517,-0.0203952,0.802308,0.781913,1.55736
S006,15,15,-0.394035,2.329e-05,-0.11203,0.00214506,0.933609,0.821579,0.00785581,0.770243,0.778099,1.24137
S007,15,15,0.768462,6.83681e-05,-0.217446,3.35676e-05,0.939796,0.72235,0.0300801,0.766147,0.796227,3.22118
S008,15,15,0.23384,0.0201914,0.0928094,0.0101218,0.833468,0.926278,-0.098213,0.797457,0.699244,7.26491
S009,15,15,-0.818157,3.39182e-06,0.223087,0.000114571,0.724554,0.94764,-0.0348853,0.765053,0.730168,3.59573
S010,15,15,0.742721,0.00323014,-0.107741,0.0744957,1.23909,1.13135,-0.0024971,0.747625,0.745128,11.0934
S011,15,15,0.547767,0.0161403,0.0605822,0.146576,0.970202,1.03078,-0.0456825,0.736218,0.690535,15.5587
S012,15,15,-0.288821,0.00618982,-0.0220832,0.198506,0.595054,0.572971,-0.00338961,0.833823,0.830434,1.86875
S013,15,15,0.173559,0.089018,-0.0178335,0.319506,0.895658,0.877825,-0.00606946,0.799803,0.793733,2.75629
S014,15,15,0.532148,6.15164e-06,0.0830884,0.011401,1.02717,1.11026,-0.127212,0.798513,0.6713,3.72444
S015,15,15,0.389733,0.000307863,0.0630044,0.00897202,0.804604,0.867608,-0.0688238,0.809012,0.740188,3.56126
S016,15,15,-0.249438,0.480731,0.0389971,0.18441,0.622661,0.661658,-0.0219036,0.836081,0.814178,3.76454
S017,15,15,0.662416,0.000222893,0.0645837,0.0128217,0.752755,0.817339,-0.0316507,0.82095,0.789299,8.40324
S018,15,15,-1.05053,6.15164e-06,0.240043,9.0734e-06,0.432051,0.672094,-0.208421,0.888166,0.679744,2.80023
S019,15,15,0.0827833,0.61867,-0.127728,0.0970911,0.87523,0.747502,0.0147224,0.768944,0.783667,1.53718
